"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
"de:03357:102760::1","000000153851",2,240,,,,
"de:03357:102760::1","000000153852",2,240,,,,
"de:03357:102764::1","de:03357:102764::2",2,120,,,,
"de:03357:102764::1","000000975811",2,240,,,,
"de:03357:102764::1","000000975812",2,240,,,,
"de:03357:102764::2","de:03357:102764::1",2,120,,,,
"de:03357:102764::2","000000975811",2,240,,,,
"de:03357:102764::2","000000975812",2,240,,,,
"de:03357:102765::2","de:03357:102765::1",2,120,,,,
"de:03357:102765::2","000000154471",2,240,,,,
"de:03357:102765::2","000000154472",2,240,,,,
"de:03357:102765::1","de:03357:102765::2",2,120,,,,
"de:03357:102765::1","000000154471",2,240,,,,
"de:03357:102765::1","000000154472",2,240,,,,
"de:03357:100997::1","de:03357:100997::2",2,120,,,,
"de:03357:100997::2","de:03357:100997::1",2,120,,,,
"de:03357:100998::1","de:03357:100998::2",2,120,,,,
"de:03357:100998::2","de:03357:100998::1",2,120,,,,
"de:03357:75670::2","de:03357:75670::3",2,120,,,,
"de:03357:75670::2","de:03357:75670::1",2,120,,,,
"de:03357:75670::2","de:03357:75670::4",2,120,,,,
"de:03357:75670::3","de:03357:75670::2",2,120,,,,
"de:03357:75670::3","de:03357:75670::1",2,120,,,,
"de:03357:75670::3","de:03357:75670::4",2,120,,,,
"de:03357:75670::1","de:03357:75670::2",2,120,,,,
"de:03357:75670::1","de:03357:75670::3",2,120,,,,
"de:03357:75670::1","de:03357:75670::4",2,120,,,,
"de:03357:75670::4","de:03357:75670::2",2,120,,,,
"de:03357:75670::4","de:03357:75670::3",2,120,,,,
"de:03357:75670::4","de:03357:75670::1",2,120,,,,
"de:03352:100215::1","de:03352:100215::2",2,120,,,,
"de:03357:54947::1","de:03357:54947::2",2,120,,,,
"de:03357:54947::2","de:03357:54947::1",2,120,,,,
"de:03357:85142::1","de:03357:85142::2",2,120,,,,
"de:03357:85142::1","000000154871",2,240,,,,
"de:03357:85142::1","000000154872",2,240,,,,
"de:03357:85142::2","de:03357:85142::1",2,120,,,,
"de:03357:85142::2","000000154871",2,240,,,,
"de:03357:85142::2","000000154872",2,240,,,,
"de:03357:85141::1","de:03357:85141::2",2,120,,,,
"de:03357:85141::1","000000154881",2,240,,,,
"de:03357:85141::1","000000154882",2,240,,,,
"de:03357:85141::2","de:03357:85141::1",2,120,,,,
"de:03357:85141::2","000000154881",2,240,,,,
"de:03357:85141::2","000000154882",2,240,,,,
"000008003785","000008003785",2,300,,,,
"de:01051:15394::2","de:01051:15394::1",2,60,,,,
"de:01051:15394::1","de:01051:15394::2",2,60,,,,
"de:01051:15415::1","de:01051:15415::2",2,60,,,,
"de:01051:15415::2","de:01051:15415::1",2,60,,,,
"de:01051:15425::1","de:01051:15425::1",2,60,,,,
"de:13076:4050:1:1","de:13076:4050:1:1",2,300,,,,
"de:13076:4055:1:1","de:13076:4055:1:2",2,300,,,,
"de:13076:4055:1:2","de:13076:4055:1:1",2,300,,,,
"de:13076:4056:1:1","de:13076:4056:1:1",2,300,,,,
"de:13076:4058:1:1","de:13076:4058:1:2",2,300,,,,
"de:13076:4058:1:2","de:13076:4058:1:1",2,300,,,,
"de:13076:4075:1:1","de:13076:4075:1:1",2,300,,,,
"de:13076:4129:1:3","de:13076:4129:1:3",2,300,,,,
"de:13076:4145:1:1","de:13076:4145:1:2",2,300,,,,
"de:13076:4145:1:2","de:13076:4145:1:1",2,300,,,,
"de:13076:4186:1:1","de:13076:4186:1:1",2,300,,,,
"de:13076:4188:1:1","de:13076:4188:1:2",2,300,,,,
"de:13076:4188:1:2","de:13076:4188:1:1",2,300,,,,
"de:13076:4190:1:1","de:13076:4190:1:2",2,300,,,,
"de:13076:4190:1:2","de:13076:4190:1:1",2,300,,,,
"de:13076:4191:1:1","de:13076:4191:1:1",2,300,,,,
"de:13076:4211:1:1","de:13076:4211:1:2",2,300,,,,
"de:13076:4211:1:2","de:13076:4211:1:1",2,300,,,,
"de:13076:4212:1:1","de:13076:4212:1:2",2,300,,,,
"de:13076:4212:1:2","de:13076:4212:1:1",2,300,,,,
"de:13076:4225:1:1","de:13076:4225:1:1",2,300,,,,
"de:13076:4258:1:1","de:13076:4258:1:1",2,300,,,,
"de:13076:4258:1:1","de:13076:4258:1:2",2,300,,,,
"de:13076:4258:1:2","de:13076:4258:1:1",2,300,,,,
"de:13076:4258:1:2","de:13076:4258:1:2",2,300,,,,
"de:13076:4259:1:1","de:13076:4259",2,300,,,,
"de:13076:4259:1:1","de:13076:4259:1:1",2,300,,,,
"de:13076:4261:1:1","de:13076:4261:1:2",2,300,,,,
"de:13076:4261:1:2","de:13076:4261:1:1",2,300,,,,
"de:13076:4262:1:1","de:13076:4262:1:1",2,300,,,,
"de:13076:4262:1:1","de:13076:4262:1:2",2,300,,,,
"de:13076:4262:1:2","de:13076:4262:1:1",2,300,,,,
"de:13076:4262:1:2","de:13076:4262:1:2",2,300,,,,
"de:13076:4271:1:1","de:13076:4271:1:1",2,300,,,,
"de:13076:4272:1:1","de:13076:4272:1:2",2,300,,,,
"de:13076:4272:1:2","de:13076:4272:1:1",2,300,,,,
"de:13076:4287:1:1","de:13076:4287:1:2",2,300,,,,
"de:13076:4287:1:2","de:13076:4287:1:1",2,300,,,,
"de:13076:4288:1:1","de:13076:4288:1:2",2,300,,,,
"de:13076:4288:1:2","de:13076:4288:1:1",2,300,,,,
"de:13076:4289:1:1","de:13076:4289:1:2",2,300,,,,
"de:13076:4289:1:2","de:13076:4289:1:1",2,300,,,,
"de:13076:4290:1:1","de:13076:4290:1:1",2,300,,,,
"de:13076:4292:1:1","de:13076:4292:1:2",2,300,,,,
"de:13076:4292:1:2","de:13076:4292:1:1",2,300,,,,
"de:13076:4407:1:1","de:13076:4407:1:2",2,300,,,,
"de:13076:4407:1:2","de:13076:4407:1:1",2,300,,,,
"de:13076:4294:1:1","de:13076:4294:1:1",2,300,,,,
"de:13076:4303:1:1","de:13076:4303:1:1",2,300,,,,
"de:13076:4303:1:1","de:13076:4303:1:2",2,300,,,,
"de:13076:4303:1:2","de:13076:4303:1:1",2,300,,,,
"de:13076:4303:1:2","de:13076:4303:1:2",2,300,,,,
"de:13076:4304:1:1","de:13076:4304:1:1",2,300,,,,
"de:13076:4304:1:1","de:13076:4304:1:2",2,300,,,,
"de:13076:4304:1:2","de:13076:4304:1:1",2,300,,,,
"de:13076:4304:1:2","de:13076:4304:1:2",2,300,,,,
"de:13076:4448:1:2","de:13076:9448",2,480,,,,
"de:13076:4448:1:2","de:13076:4448:1:2",2,300,,,,
"de:13076:4719:1:1","de:13076:4719:1:2",2,300,,,,
"de:13076:4719:1:2","de:13076:4719:1:1",2,300,,,,
"de:13076:1120:1:1","de:13076:1120:1:1",2,300,,,,
"de:13076:4451:1:1","de:13076:4451:1:1",2,300,,,,
"de:13076:4458:1:1","de:13076:4458:1:2",2,300,,,,
"de:13076:4458:1:2","de:13076:4458:1:1",2,300,,,,
"de:13076:4459:1:1","de:13076:4459:1:2",2,300,,,,
"de:13076:4459:1:2","de:13076:4459:1:1",2,300,,,,
"de:13076:4459:1:2","de:13076:4459:1:2",2,300,,,,
"de:13076:4460:1:1","de:13076:4460:1:1",2,300,,,,
"de:13076:4460:1:1","de:13076:4460:1:2",2,300,,,,
